% run#   track#   exppar1[Hz]   exppar2[dB]   expvar[presence]   n.pres   n.correct
1   1   1000.00000000   50.00000000   0.00000000   10   0
1   1   1000.00000000   50.00000000   1.00000000   10   0
2   1   1000.00000000   65.00000000   0.00000000   10   0
2   1   1000.00000000   65.00000000   1.00000000   10   10
3   1   1000.00000000   70.00000000   0.00000000   10   0
3   1   1000.00000000   70.00000000   1.00000000   10   10
4   1   1000.00000000   55.00000000   0.00000000   10   1
4   1   1000.00000000   55.00000000   1.00000000   10   1
5   1   1000.00000000   60.00000000   0.00000000   10   0
5   1   1000.00000000   60.00000000   1.00000000   10   9
6   1   1000.00000000   75.00000000   0.00000000   10   0
6   1   1000.00000000   75.00000000   1.00000000   10   10
7   1   1000.00000000   45.00000000   0.00000000   10   0
7   1   1000.00000000   45.00000000   1.00000000   10   0
